ITEM,Numbers,Category
cherukadha Malayalam,1,sahithyolsavam
cherukadha Hindi,1,sahithyolsavam
cherukadha English,1,sahithyolsavam
cherukadha Kannada,1,sahithyolsavam
cherukadha Urdu,1,sahithyolsavam
cherukadha Sanskrit,1,sahithyolsavam
cherukadha Arabic,1,sahithyolsavam
Kavitharachana Malayalam,1,sahithyolsavam
Kavitharachana Hindi,1,sahithyolsavam
Kavitharachana English,1,sahithyolsavam
Kavitharachana Kannada,1,sahithyolsavam
Kavitharachana Urdu,1,sahithyolsavam
Kavitharachana Sanskrit,1,sahithyolsavam
Kavitharachana Arabic,1,sahithyolsavam
Prabandham Malayalam,1,sahithyolsavam
Prabandham Hindi,1,sahithyolsavam
Prabandham English,1,sahithyolsavam
Prabandham Kannada,1,sahithyolsavam
Prabandham Urdu,1,sahithyolsavam
Prabandham Sanskrit,1,sahithyolsavam
Prabandham Arabic,1,sahithyolsavam
Cinema Niroopanam Malayalam,1,sahithyolsavam
Cinema Niroopanam English,1,sahithyolsavam
Cinema Niroopanam Hindi,1,sahithyolsavam
Thirakadharachana(Documentry) Malayalam,1,sahithyolsavam
Thirakadharachana(Documentry) English,1,sahithyolsavam
Thirakadharachana(Documentry) Hindi,1,sahithyolsavam
Thirakadharachana(Kadhachitram) Malayalam,1,sahithyolsavam
Thirakadharachana(Kadhachitram) English,1,sahithyolsavam
Thirakadharachana(Kadhachitram) Hindi,1,sahithyolsavam
Prasangam Malayalam,1,sahithyolsavam
Prasangam English,1,sahithyolsavam
Prasangam Hindi,1,sahithyolsavam
Prasangam Kannada,1,sahithyolsavam
Prasangam Urdu,1,sahithyolsavam
Prasangam Sanskrit,1,sahithyolsavam
Prasangam Arabic,1,sahithyolsavam
Kavithalapanam Malayalam,1,sahithyolsavam
Kavithalapanam English,1,sahithyolsavam
Kavithalapanam Hindi,1,sahithyolsavam
Kavithalapanam Kannada,1,sahithyolsavam
Kavithalapanam Urdu,1,sahithyolsavam
Kavithalapanam Sanskrit,1,sahithyolsavam
Kavithalapanam Arabic,1,sahithyolsavam
Aksharaslogam,1,sahithyolsavam
Kavyakeli,1,sahithyolsavam
Quiz,2,sahithyolsavam
Debate Malayalam,2,sahithyolsavam
Debate English,2,sahithyolsavam
Kurungadha Malayalam,1,sahithyolsavam
Kurungadha Hindi,1,sahithyolsavam
Kurungadha English,1,sahithyolsavam
Kurungadha Kannada,1,sahithyolsavam
Kurungadha Urdu,1,sahithyolsavam
Kurungadha Sanskrit,1,sahithyolsavam
Kurungadha Arabic,1,sahithyolsavam
Wiki Article Rachana Malayalam,1,sahithyolsavam
Wiki Article Rachana English,1,sahithyolsavam
Wiki Article Rachana Hindi,1,sahithyolsavam
Painting Acrylic,1,chithrolsavam
Oil Painting ,1,chithrolsavam
Water Painting Acrylic,1,chithrolsavam
Poster Rachana,1,chithrolsavam
Pencil Drawing,1,chithrolsavam
Charcoal Drawing,1,chithrolsavam
Cartoon Rachana,1,chithrolsavam
Caricature Rachana,1,chithrolsavam
Collash(Collage),1,chithrolsavam
Clay Model,1,chithrolsavam
embroidery,1,chithrolsavam
Pookalam,3,chithrolsavam
Rangoli,1,chithrolsavam
Photography,1,chithrolsavam
Computer Designing,1,chithrolsavam
Mehandi Design,2,chithrolsavam
Lalithaganam(M),1,Sangeetholsavam
Lalithaganam(F),1,Sangeetholsavam
Carnatic Sangeetham(M),1,Sangeetholsavam
Carnatic Sangeetham(F),1,Sangeetholsavam
Hindustani Sangeetham(M),1,Sangeetholsavam
Hindustani Sangeetham(F),1,Sangeetholsavam
Sanghaganam (Indian),8,Sangeetholsavam
Sanghaganam (Western),8,Sangeetholsavam
Paschathya Sangeetham(single),1,Sangeetholsavam
Mappilapattu (Single),1,Sangeetholsavam
Mappilapattu (Group),6,Sangeetholsavam
Gazal (M),1,Sangeetholsavam
Gazal (F),1,Sangeetholsavam
Nadanpattu,6,Sangeetholsavam
Chenda,1,Sangeetholsavam
Edakka,1,Sangeetholsavam
Maddhalam,1,Sangeetholsavam
Thabala,1,Sangeetholsavam
Mridangam,1,Sangeetholsavam
Gadam,1,Sangeetholsavam
Jazz (western),1,Sangeetholsavam
Guitar (western),1,Sangeetholsavam
Violin,1,Sangeetholsavam
Veena,1,Sangeetholsavam
pullamkuzhal,1,Sangeetholsavam
Nagaswaram,1,Sangeetholsavam
Harmonium,1,Sangeetholsavam
violine(western),1,Sangeetholsavam
Kadhakali Sangeetham,1,Sangeetholsavam
Ashtapathi,1,Sangeetholsavam
Kadhakali,1,Nritholsavam
Mohiniyattam,1,Nritholsavam
Bharatanatyam (M),1,Nritholsavam
Bharatanatyam (F),1,Nritholsavam
Kuchipodi (M),1,Nritholsavam
Kuchipodi(F),1,Nritholsavam
Keralanadanam,1,Nritholsavam
Ottamthullal,1,Nritholsavam
NadodiNritham(M),1,Nritholsavam
NadodiNritham(F),1,Nritholsavam
NadodiNritham(Group),10,Nritholsavam
Group Dance(M),8,Nritholsavam
Group Dance(F),8,Nritholsavam
Thiruvathira,10,Nritholsavam
Kolkali,12,Nritholsavam
Margamkali,8,Nritholsavam
Oppana(F),10,Nritholsavam
Poorakali,12,Nritholsavam
Daffmuttu(M),10,Nritholsavam
Parichamuttukali,8,Nritholsavam
Vattappattu,10,Nritholsavam
Arabanamuttu,10,Nritholsavam
Natakam (Malayalam),10,Drishyanatakolsavam
Natakam (English),10,Drishyanatakolsavam
Natakam (Hindi),10,Drishyanatakolsavam
Natakam (Kannada),10,Drishyanatakolsavam
Theruvu natakam (malayalam),10,Drishyanatakolsavam
Mime,6,Drishyanatakolsavam
Skit (malayalam),6,Drishyanatakolsavam
Mono Act,1,Drishyanatakolsavam
Kadhaprasagam,1,Drishyanatakolsavam
Mimicry,1,Drishyanatakolsavam
Chakyarkoothu,1,Drishyanatakolsavam
Yakshagana,9,Drishyanatakolsavam
Nangiyarkoothu,1,Drishyanatakolsavam
Short Film,15,Drishyanatakolsavam